76,2017-09-16,"tristique pellentesque, tellus",Transportation,26.66
77,2017-03-07,quam vel sapien,Healthcare,85.31
78,2017-01-30,turpis egestas.,Personal Care,22.25
79,2018-06-27,ligula.,Transportation,29.22
80,2018-03-19,urna suscipit nonummy. Fusce,Restaurant,66.26
81,2017-04-01,"pede,",Entertainment,64.85
82,2018-04-02,eros turpis non enim.,Transportation,60.29
83,2017-10-03,rent,Housing,"1,800.00"
84,2018-05-18,sed sem egestas blandit.,Personal Care,62.39
85,2017-11-03,rent,Housing,"1,800.00"
86,2017-11-15,"a,",Transportation,78.72
87,2017-12-03,rent,Housing,"1,800.00"
88,2017-06-28,egestas. Aliquam nec enim. Nunc,Utilities,15.87
89,2017-03-10,aliquet. Proin velit.,Food and Groceries,75.73
90,2018-01-02,rent,Housing,"1,854.00"
91,2017-03-01,vel arcu,Entertainment,21.91
92,2018-03-01,rent,Housing,"1,854.00"
93,2017-06-26,sit,Food and Groceries,75.98
94,2018-07-13,"venenatis vel,",Food and Groceries,55.47
95,2018-04-20,Aliquam,Transportation,59.28
96,2018-02-11,turpis,Restaurant,25.46
97,2018-04-02,rent,Housing,"1,854.00"
98,2017-04-10,"mattis ornare,",Food and Groceries,70.17
99,2017-09-23,felis. Nulla tempor,Entertainment,97.54
100,2017-02-04,"magna, malesuada vel,",Food and Groceries,94.01
101,2018-01-29,Vestibulum ante ipsum primis in,Utilities,87.51
102,2018-05-13,Quisque,Clothing,53.56
103,2018-02-10,Nullam scelerisque neque sed sem,Healthcare,70.69
104,2017-11-21,nunc. In at pede. Cras,Transportation,55.68
105,2017-10-11,Nullam,Miscellaneous,77.38
106,2017-11-21,Aliquam vulputate ullamcorper magna.,Personal Care,5.27
107,2017-10-02,"ullamcorper eu, euismod ac,",Healthcare,63.41
108,2017-04-08,"Proin nisl sem,",Miscellaneous,2.89
109,2017-09-11,volutpat nunc sit amet,Clothing,10.26
110,2018-07-02,porttitor,Food and Groceries,83.39
111,2017-01-19,quam vel sapien imperdiet,Transportation,67.95
112,2018-04-20,ridiculus mus. Proin vel,Food and Groceries,44.49
113,2017-09-21,"blandit viverra. Donec tempus,",Miscellaneous,80.71
114,2017-07-01,"quis, pede. Suspendisse dui.",Personal Care,4.98
115,2017-12-27,tellus. Aenean egestas,Miscellaneous,25.74
116,2018-05-03,rent,Housing,"1,854.00"
117,2018-08-11,"leo,",Food and Groceries,90.6
118,2017-09-01,non justo. Proin non massa,Miscellaneous,74.29
119,2018-01-24,lobortis mauris. Suspendisse,Miscellaneous,47.72
120,2018-02-11,massa. Quisque porttitor,Personal Care,44.85
121,2018-06-03,rent,Housing,"1,854.00"
122,2018-07-03,rent,Housing,"1,854.00"
123,2018-08-03,rent,Housing,"1,854.00"
